PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=1134 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=1130 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=1134 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=1139 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=1137 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=1208 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=1206 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=1201 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=1193 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=1205 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=1194 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=1207 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=1196 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=1147 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=1123 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=1078 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=1040 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=482 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=482 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=447 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=490 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=485 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=491 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=531 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=493 ms
